1; O Iluminado; Stephen King; Terror; https://encurtador.com.br/amwHN
2; O Guia do Mochileiro das Galaxias; Douglas Adams; Ficcao Cientifica; https://encurtador.com.br/IUXZ7
3; A Guerra dos Tronos; George R.R. Martin; Fantasia; https://encurtador.com.br/otJLM
4; O Pequeno Principe; Antoine de Saint-Exupery; Infantil; https://shre.ink/QyGl
5; Assassinato no Expresso do Oriente; Agatha Christie; Misterio; https://shre.ink/QyGZ
6; 1984; George Orwell; Historia; https://shre.ink/QyG7
7; A Ilha do Tesouro; Robert Louis Stevenson; Aventura; https://shre.ink/QyGD
8; O Morro dos Ventos Uivantes; Emily Bronte; Romance; https://shre.ink/QyGW
9; Eu Robo; Isaac Asimov; Ficcao Cientifica; https://shre.ink/QySU
10; O Hobbit; J.R.R. Tolkien; Fantasia; https://shre.ink/QyS6
11; O Menino Maluquinho; Ziraldo; Infantil; https://shre.ink/QyST
12; O Nome da Rosa; Umberto Eco; Misterio; https://shre.ink/QySF
13; As Veias Abertas da America Latina; Eduardo Galeano; Historia; https://shre.ink/QySK
14; Robinson Crusoe; Daniel Defoe; Aventura; https://shre.ink/QyX6
15; O Amor nos Tempos do Colera; Gabriel Garcia Marquez; Romance; https://shre.ink/QySx
16; Neuromancer; William Gibson; Ficcao Cientifica; https://shre.ink/QySM
17; Cronicas de Narnia; C.S. Lewis; Fantasia; https://shre.ink/QySg
18; Alice no Pais das Maravilhas; Lewis Carroll; Infantil; https://shre.ink/QyXH
19; O Caso dos Dez Negrinhos; Agatha Christie; Misterio; https://shre.ink/QySp
20; Sapiens Uma Breve Historia da Humanidade; Yuval Noah Harari; Historia; https://encurtador.com.br/pwEGU
21; O Velho e o Mar; Ernest Hemingway; Aventura; https://encurtador.com.br/cfmW5
